tweet_id,tweet_text_x,text_info
917791130590183424,PHOTOS: Deadly wildfires rage in California https://t.co/td9xT3vXOL https://t.co/OimwAncLew,informative
917791044158185473,RT @Gizmodo: Wildfires raging through Northern California are terrifying https://t.co/dI73RFzX2i https://t.co/k4KnvIimsU,informative
917791291823591425,"RT @Cal_OES: PLS SHARE: We’re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",informative
917791291823591425,"RT @Cal_OES: PLS SHARE: We’re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",informative
917792092100988929,RT @TIME: California's raging wildfires as you've never seen them before https://t.co/OksQOZ2LHH https://t.co/oHTMbrM2Jx,informative
917792930315821057,Mass Evacuations in California as Wildfires Kill at Least 10 https://t.co/gyoKFWZuMB #CaliforniaWildfires https://t.co/KEFtjITetK,informative
917792147700465664,Wildfires Threaten California’s First Legal Cannabis Harvest https://t.co/BSuAdfwN62 https://t.co/wNqfLrNmTp,informative
917793158251077632,"RT @FoxNews: Southern California fire shrouds Disneyland Anaheim in dramatic, smoky skies https://t.co/nNxpY2kSmS https://t.co/6ripQFkIVh",informative
917794232160661505,"At Least 11 Dead and 100 Missing as Wildfires Rage Across Northern California -  
Damage and death toll rises as ... https://t.co/r9xiSn2IcK",informative
917793137925459968,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,informative
917793137925459968,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,informative
917793137925459968,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,informative
917793736918216706,California wildfire. ὡ4 https://t.co/a8oD5rkDdI,not_informative
917793881533571073,Wildfires Still Burn in Northern California; 11 Are Dead https://t.co/8rx6aoC5Ix #nyt https://t.co/UtY33zQTES,informative
