,tweet_id,tweet_text,text_info,KMeans(n_clusters=2),Birch(n_clusters=2),AgglomerativeClustering(),ensemble
0,917791130590183424,PHOTOS: Deadly wildfires rage in California https://t.co/td9xT3vXOL https://t.co/OimwAncLew,1,1.0,1,1,1
1,917791044158185473,RT @Gizmodo: Wildfires raging through Northern California are terrifying https://t.co/dI73RFzX2i https://t.co/k4KnvIimsU,1,1.0,1,1,1
2,917791291823591425,"RT @Cal_OES: PLS SHARE: We’re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",1,1.0,1,1,1
3,917791291823591425,"RT @Cal_OES: PLS SHARE: We’re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",1,1.0,1,1,1
4,917792092100988929,RT @TIME: California's raging wildfires as you've never seen them before https://t.co/OksQOZ2LHH https://t.co/oHTMbrM2Jx,1,1.0,1,1,1
5,917792930315821057,Mass Evacuations in California as Wildfires Kill at Least 10 https://t.co/gyoKFWZuMB #CaliforniaWildfires https://t.co/KEFtjITetK,1,1.0,1,1,1
6,917792147700465664,Wildfires Threaten California’s First Legal Cannabis Harvest https://t.co/BSuAdfwN62 https://t.co/wNqfLrNmTp,1,1.0,1,1,1
7,917793158251077632,"RT @FoxNews: Southern California fire shrouds Disneyland Anaheim in dramatic, smoky skies https://t.co/nNxpY2kSmS https://t.co/6ripQFkIVh",1,1.0,1,1,1
8,917794232160661505,"At Least 11 Dead and 100 Missing as Wildfires Rage Across Northern California -  
Damage and death toll rises as ... https://t.co/r9xiSn2IcK",1,0.0,0,1,1
9,917793137925459968,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,1,1.0,1,1,1
10,917793137925459968,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,1,1.0,1,1,1
11,917793137925459968,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,1,1.0,1,1,1
12,917793736918216706,California wildfire. ὡ4 https://t.co/a8oD5rkDdI,0,0.0,0,0,0
13,917793881533571073,Wildfires Still Burn in Northern California; 11 Are Dead https://t.co/8rx6aoC5Ix #nyt https://t.co/UtY33zQTES,1,1.0,1,1,1
14,917794024173563904,"Henry Cejudo suffers burns, loses gold medal in California wildfire — https://t.co/GkuLc60ZWl https://t.co/0gRZgSK4LU",1,1.0,1,1,1
15,917794580728295424,More than 100 missing persons reports made in California wildfires https://t.co/614UWl30MO https://t.co/CBuNhzQ5xf,1,1.0,1,1,1
16,917794360581869569,Southern California wildfires continue to rage as death toll rises to 11 https://t.co/idIRZsGZvX https://t.co/3zbQucj1UY,1,1.0,1,1,1
17,917794892113498113,"RT @News12BX: California wildfires kill 10, destroy 1,500 buildings https://t.co/cKLrLVtXMe https://t.co/o1CGcHS57o",1,1.0,1,1,1
18,917795098523512962,RT @R5_Fire_News: California large wildfire activity for October 10 #cawildfires #cafires https://t.co/Z0wWjwv42s,1,0.0,0,0,0
19,917795236595863552,"11 dead, thousands homeless as wildfires torch California wine country https://t.co/n4OrOaOgEV #Heatwave #Wildfires https://t.co/H1EmUrnzjF",1,1.0,1,1,1
20,917796307191951360,#breakingnews  #news Southern California Wildfire Remains Active - https://t.co/j2oqFz9qZD https://t.co/X4OTZgvTZl,1,1.0,1,1,1
21,917797763282214913,"On today's PNS newscast: deadly wildfires ravage Northern California.

Listen now: https://t.co/wgmKAIWUiI https://t.co/BApQhkb51r",1,1.0,1,1,1
22,917796883610820608,A quick rundown of what you need to know about the harrowing California wildfires https://t.co/iUsphXwGJM https://t.co/AxtLl0fNO9,1,1.0,1,1,1
23,917796280377602048,Thousands flee as wildfires ravage northern California; 10 killed https://t.co/d3S3rVIQxV https://t.co/Y9UpznWXK0,1,1.0,1,1,1
24,917796940900982786,How to help Napa fire victims: 8 things you can do for California’s Wine Country right now https://t.co/bydGBffp3I https://t.co/UCS3FuRAWc,1,1.0,1,1,1
25,917797601763889160,From #ScienceNow - Wildfires Running Amok in California https://t.co/En6FOYnFRz #NASA #wildfires https://t.co/POBCpjD5CT,1,1.0,1,1,1
26,917800657796595715,Save Mart Donating To #California Fire Victims https://t.co/RxWh4z76r3 #Bakersfield ὏0 https://t.co/me9yzYd5Bq,1,1.0,1,1,1
27,917804456422473734,#California schools call off all sports because of rising smoke and ash from #CanyonFire2 https://t.co/ORXsOxqCbt https://t.co/u4MHO7hjeZ,1,1.0,1,1,1
28,917804966823129093,NASA satellites capture breadth of Northern California wildfires https://t.co/jS8kmKxdRD @sdut https://t.co/SPBqnPAG3H,1,1.0,1,1,1
29,917803905681121280,"RT @ArtemR: The headline photo... so surreal.

https://t.co/uRviBMNrIa

#santarosafire https://t.co/VMl3CH6KMR",1,1.0,1,1,1
30,917803284936589313,"RT @ABC: California wildfire outbreak kills at least 11, among most deadly in state history: https://t.co/bYpu9NM6Ye https://t.co/2mPemtcbcq",1,1.0,1,1,1
31,917811158282883073,"California is on fire, but this is the most important story on CNN right now. https://t.co/wZr0IkazYB",1,0.0,0,0,0
32,917803185317859329,"I think Event: Wildfire has occurred in California
Tue Oct 10 12:25:03 2017 CDT https://t.co/zAy18tH5mj",1,0.0,0,0,0
